reel_ID,#design,C_vac,C_upperBell,C_middleBell,C_middleSuica,C_CherryA,C_CherryB,C_middleRep,C_SBB
20,bell_2,0,2,0,2,2,2,1,2
19,cherry,1,0,1,0,0,0,2,3
18,b7,2,1,2,1,1,1,3,0
17,r7,3,2,3,0,0,0,4,1
16,rep_2,4,3,4,1,1,1,0,2
15,bell_2,0,4,0,2,2,2,1,3
14,blank,1,0,1,3,3,3,2,4
13,suica,2,1,2,0,0,0,3,0
12,suica,3,2,3,1,0,1,4,0
11,rep_2,4,3,4,2,1,2,0,1
10,bell_2,0,4,0,3,2,3,1,2
9,cherry,1,0,1,4,3,4,2,3
8,rep_2,2,1,2,4,4,1,0,4
7,bell_2,0,2,0,2,2,2,1,2
6,bar,1,0,1,3,3,3,2,3
5,suica,2,1,2,0,4,4,3,0
4,bar,3,2,3,1,0,0,4,1
3,rep_2,4,3,4,2,1,1,0,2
2,bell_2,0,4,0,3,2,2,1,3
1,cherry,1,0,1,4,3,3,2,4
0,rep_2,2,1,2,1,4,4,0,1
