role,L_reel,C_reel,R_reel
,,,
vac,L_middleRep,C_middleRep,R_vac
,,,
upperBell,L_middleRep,C_upperBell,R_middleRep
middleBell,L_middleBell,C_middleBell,R_middleBell
downBell,L_middleRep,C_middleBell,R_downBell
,,,
Cherry_A,L_Cherry,C_CherryA,R_middleBell
Cherry_B,L_Cherry,C_CherryB,R_middleSuica
,,,
downSuica,L_middleBell,C_middleSuica,R_downSuica
middleSuica,L_middleSuica,C_middleSuica,R_middleSuica
,,,
Replay_A,L_middleRep,C_middleRep,R_middleRep
Replay_B,L_middleRep,C_middleRep,R_r7
Replay_C,L_middleRep,C_middleRep,R_r7
Replay_D,L_middleRep,C_middleRep,R_middleBell
Replay_E,L_b7,C_middleRep,R_b7
Replay_F,L_b7,C_middleRep,R_r7
,,,
SBB,L_SBB,C_SBB,R_SBB
