reel_ID,#design,C_vac,C_upperBell,C_middleBell,C_middleRep,C_middleSuica,C_CherryA,C_CherryB,C_middleR7,C_middleB7,C_BB1
20,bell_2,1,2,0,1,2,2,2,1,1,1
19,cherry,2,0,1,2,0,0,0,2,2,2
18,b7,3,1,2,3,1,1,1,3,0,3
17,r7,4,2,3,4,0,0,0,0,1,0
16,rep_2,0,3,4,0,1,1,1,1,2,1
15,bell_2,1,4,0,1,2,2,2,2,3,2
14,blank,2,0,1,2,3,3,3,3,4,3
13,suica,3,1,2,3,0,0,0,4,0,4
12,suica,4,2,3,4,1,0,1,0,0,2
11,rep_2,0,3,4,0,2,1,2,1,1,3
10,bell_2,1,4,0,1,3,2,3,2,2,4
9,cherry,2,0,1,2,4,3,4,3,3,2
8,rep_2,0,1,2,0,4,4,1,4,4,0
7,bell_2,1,2,0,1,2,2,2,1,1,1
6,bar,2,0,1,2,3,3,3,0,0,0
5,suica,3,1,2,3,0,4,4,1,1,0
4,bar,4,2,3,4,1,0,0,0,0,1
3,rep_2,0,3,4,0,2,1,1,1,1,2
2,bell_2,1,4,0,1,3,2,2,2,2,3
1,cherry,2,0,1,2,4,3,3,3,3,4
0,rep_2,0,1,2,0,1,4,4,4,4,4
