reel_ID,#design,L_middleBell,L_middleRep,L_Cherry,L_middleSuica,L_middleR7,L_middleB7,L_RB,L_redBB,L_blueBB
20,rep_1,1,0,0,2,1,3,4,4,3
19,r7,2,1,1,3,0,4,0,0,4
18,b7,3,2,2,4,1,0,1,1,1
17,suica,4,3,3,0,2,1,2,2,2
16,bell_2,0,4,4,1,3,2,3,3,3
15,rep_1,1,0,0,2,4,3,4,4,4
14,suica,2,1,1,0,2,4,2,4,4
13,bell_2,0,2,2,1,0,3,3,3,3
12,rep_2,1,0,3,2,0,0,0,0,0
11,bar,2,1,0,3,1,1,1,1,1
10,cherry,3,2,1,4,2,2,2,2,2
9,suica,4,3,2,0,3,3,3,3,3
8,bell_1,0,4,3,1,4,4,4,4,4
7,rep_1,1,0,4,2,1,1,0,0,0
6,blank,2,1,0,3,2,2,1,1,1
5,suica,3,2,1,0,3,3,2,2,2
4,bell_1,0,3,2,1,0,0,3,3,3
3,rep_1,1,0,3,2,1,1,0,0,4
2,b7,2,1,4,3,2,0,1,1,0
1,suica,3,2,2,0,3,1,2,2,1
0,bell_1,0,3,3,1,0,2,3,3,2
