reel_ID,#design,R_vac,R_middleBell,R_downBell,R_middleRep,R_downSuica,R_middleSuica,R_middleR7,R_middleBar,R_RB,R_redBB,R_blueBB
20,rep_2,3,1,2,0,3,2,2,2,2,2,2
19,blank,4,2,3,1,4,3,3,3,3,3,3
18,b7,1,3,4,2,0,4,0,4,4,0,0
17,r7,0,4,0,3,1,1,0,0,0,0,0
16,bell_1,1,0,1,4,2,2,1,1,1,1,1
15,rep_1,2,1,2,0,0,3,2,2,2,2,2
14,bar,0,2,0,1,1,0,3,0,3,3,3
13,bell_2,1,0,1,2,2,1,4,1,0,4,4
12,rep_1,2,1,2,0,3,2,2,2,1,2,2
11,blank,3,2,3,1,4,3,3,3,2,3,3
10,cherry,0,3,4,2,0,0,4,4,3,4,4
9,suica,1,4,0,3,1,0,4,0,4,4,4
8,bell_1,2,0,1,4,2,1,1,1,1,1,1
7,rep_2,3,1,2,0,3,2,2,2,2,2,2
6,cherry,0,2,3,1,0,3,3,3,3,3,3
5,suica,1,3,0,2,1,0,0,0,0,0,0
4,bell_1,2,0,1,3,2,1,1,1,1,1,1
3,rep_2,3,1,2,0,3,2,2,2,2,2,2
2,cherry,0,2,3,1,0,3,3,3,3,3,3
1,suica,1,3,0,2,1,0,0,0,0,0,0
0,bell_1,2,0,1,3,2,1,1,1,1,1,1
