role,L_reel,C_reel,R_reel
,,,
vac,L_middleRep,C_middleRep,R_vac
,,,
upperBell,L_middleRep,C_upperBell,R_middleRep
downBell,L_middleRep,C_middleBell,R_downBell
middleBell,L_middleBell,C_middleBell,R_middleBell
,,,
Cherry_A,L_Cherry,C_CherryA,R_middleBell
Cherry_B,L_Cherry,C_CherryB,R_middleSuica
,,,
downSuica,L_middleBell,C_middleSuica,R_downSuica
middleSuica,L_middleSuica,C_middleSuica,R_middleSuica
,,,
middleReplay,L_middleRep,C_middleRep,R_middleRep
,,,
SReplay,L_Cherry,C_middleRep,R_middleBell
,,,
TReplay1,L_middleSuica,C_middleBell,R_middleRep
TReplay2,L_middleBell,C_middleBell,R_middleRep
,,,
RB,L_RB,C_RB,R_RB
redBB,L_redBB,C_redBB,R_redBB
blueBB,L_blueBB,C_blueBB,R_blueBB
