role,L_reel,C_reel,R_reel
,,,
vac,L_middleRep,C_vac,R_vac
,,,
upperBell,L_middleRep,C_upperBell,R_middleRep
middleBell,L_middleBell,C_middleBell,R_middleBell
downBell,L_middleRep,C_middleBell,R_downBell
missBell_A,L_middleRep,C_middleBell,R_middleBell
missBell_B,L_middleRep,C_middleBell,R_middleBell
missBell_C,L_middleRep,C_middleBell,R_middleBell
missBell_D,L_middleRep,C_middleBell,R_middleBell
,,,
Replay_A,L_middleRep,C_middleRep,R_middleRep
Replay_B,L_middleBell,C_middleRep,R_middleBell
Replay_C,L_middleSuica,C_middleRep,R_middleRep
,,,
Cherry_A,L_Cherry,C_middleRep,R_middleRep
,,,
downSuica,L_middleBell,C_middleSuica,R_downSuica
middleSuica,L_middleSuica,C_middleSuica,R_middleSuica
,,,
RB1,L_RB1,C_RB1,R_RB1
BB1,L_BB1,C_BB1,R_BB1
