reel_ID,#design,vac,upperBell,middleBell,lowerBell,Replay,Cherry,downSuica,middleSuica,RB1,BB1
20,rep_1,0,0,1,2,0,3,1,2,1,1
19,r7,1,1,2,3,1,0,2,3,0,0
18,b7,2,2,3,4,2,1,3,4,1,1
17,suica,3,3,4,0,3,2,4,0,2,2
16,bell_2,4,4,0,1,4,3,0,1,3,3
15,rep_1,0,0,1,2,0,4,1,2,4,4
14,suica,1,1,2,0,1,0,2,0,1,1
13,bell_2,2,2,0,1,2,1,0,1,0,0
12,rep_2,0,0,1,2,0,2,1,2,0,0
11,bar,1,1,2,3,1,0,2,3,1,1
10,cherry,2,2,3,4,2,1,3,4,2,2
9,suica,3,3,4,0,3,2,4,0,3,3
8,bell_1,4,4,0,1,4,3,0,1,4,4
7,rep_1,0,0,1,2,0,4,1,2,1,1
6,blank,1,1,2,3,1,0,2,3,2,2
5,suica,2,2,3,0,2,1,3,0,3,3
4,bell_1,3,3,0,1,3,2,0,1,0,0
3,rep_1,0,0,1,2,0,3,1,2,1,1
2,b7,1,1,2,3,1,4,2,3,2,2
1,suica,2,2,3,0,2,1,3,0,3,3
0,bell_1,3,3,0,1,3,2,0,1,0,0
