reel_ID,#design,vac,upperBell,middleBell,lowerBell,Replay,Cherry,downSuica,middleSuica,RB1,BB1
20,rep_2,2,0,1,2,0,0,3,2,2,2
19,blank,3,1,2,3,1,1,4,3,3,3
18,b7,4,2,3,4,2,2,0,4,4,4
17,r7,0,3,4,0,3,3,1,1,0,0
16,bell_1,1,4,0,1,4,4,2,2,1,1
15,rep_1,2,0,1,2,0,0,3,3,2,2
14,bar,0,1,2,0,1,1,0,0,0,3
13,bell_2,1,2,0,1,2,2,1,1,1,4
12,rep_1,2,0,1,2,0,0,2,2,2,1
11,blank,3,1,2,3,1,1,3,3,3,2
10,cherry,4,2,3,4,2,2,0,0,4,3
9,suica,0,3,4,0,3,3,1,0,0,4
8,bell_1,1,4,0,1,4,4,2,1,1,1
7,rep_2,2,0,1,2,0,0,3,2,2,2
6,cherry,3,1,2,3,1,1,0,3,3,3
5,suica,0,2,3,0,2,2,1,0,0,0
4,bell_1,1,3,0,1,3,3,2,1,1,1
3,rep_2,2,0,1,2,0,0,3,2,2,2
2,cherry,3,1,2,3,1,1,0,3,3,3
1,suica,0,2,3,0,2,2,1,0,0,0
0,bell_1,1,3,0,1,3,3,2,1,1,1
